Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ejemplo2D:md1,,,Ejemplo2D:md2,,,Ejemplo2D:md3,,,Ejemplo2D:md4,,,Ejemplo2D:pd1,,,Ejemplo2D:pd2,,,Ejemplo2D:pd3,,,Ejemplo2D:pd4,,
Time,Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1.64,42,0,102.1083953,941.8480844,0,62.47745129,891.4455602,0,197.6385047,867.409017,0,158.1470758,816.3860022,0,264.4857192,612.5809435,0,223.0098935,661.4765676,0,172.4733057,533.8351987,0,130.3616275,582.7179928
1.68,43,0,99.46606785,934.7850997,0,56.86952403,886.8626558,0,190.3362648,854.7239738,0,147.8415869,806.173759,0,243.0903732,595.2483023,0,203.9327048,646.0193884,0,147.5163321,520.8656483,0,107.7229023,571.653481
1.72,44,0,96.40287442,927.8942003,0,50.99558992,882.6260582,0,182.2828014,842.5020771,0,136.9393635,796.6011661,0,220.6375133,579.1733312,0,183.8826913,631.7100729,0,121.7085493,509.3146407,0,84.31943198,561.8976694
1.76,45,0,92.92995119,921.2004381,0,44.8770036,878.7511696,0,173.507393,830.7877596,0,125.4800404,787.7030244,0,197.2019722,564.419955,0,162.9294889,618.6087275,0,95.13204609,499.2363164,0,60.22810542,553.5008161
1.8,46,0,89.05992391,914.7281482,0,38.53600908,875.252077,0,164.0419422,819.6236084,0,113.5052779,779.511683,0,170.4192466,553.6104544,0,140.2629498,610.1933488,0,63.79314547,496.1817933,0,33.01275294,552.8870702
1.84,47,0,84.80686203,908.5008605,0,31.99565898,872.1415012,0,153.9208607,809.0502107,0,101.0586099,772.0569215,0,143.1840434,544.4584088,0,117.2729696,603.1068736,0,32.62127855,495.0311735,0,6.096806007,553.8476113
1.88,48,0,80.18622749,902.5412141,0,25.27973066,869.4307509,0,143.1809436,799.1060059,0,88.18528634,765.3658416,0,115.5469637,537.0395889,0,94.02159343,597.4356533,0,1.646966491,495.881756,0,-20.47777997,556.4904731
1.92,49,0,75.21481855,896.8708754,0,18.41263977,867.1296808,0,131.8612356,789.827146,0,74.93210788,759.4627685,0,87.61845622,531.3674882,0,70.59549228,593.1837067,0,-29.00124862,498.7022007,0,-46.6063166,560.7745986
1.96,50,0,69.91070869,891.5104588,0,11.41935154,865.2466565,0,120.0028893,781.2473643,0,61.3472563,754.3691628,0,59.50901064,527.448553,0,47.08074536,590.3497803,0,-59.19813192,503.4529103,0,-72.18807309,566.6524548
2,51,0,64.29318095,886.4794519,0,4.325289981,863.7885237,0,107.6490157,773.3978524,0,47.48011914,750.1035422,0,31.32870704,525.2822352,0,23.56252199,588.9274435,0,-88.82228597,510.0863329,0,-97.12667356,574.070379
2.04,52,0,58.38265777,881.796145,0,-2.843754551,862.7605834,0,94.84452715,766.307147,0,33.38111021,746.6814145,0,3.18677306,524.8610746,0,0.124773705,588.9052026,0,-117.7566551,518.5472996,0,-121.3304657,582.9689487
2.08,53,0,52.20062678,877.4775641,0,-10.06171908,862.1665727,0,81.63597411,760.0010265,0,19.10148626,744.1152206,0,-24.80884993,526.1708096,0,-23.15006254,590.2666332,0,-145.8890016,528.7733928,0,-144.7128593,593.2833741
2.12,54,0,45.76956266,873.5394094,0,-17.30236281,862.0086511,0,68.07137614,754.5024165,0,4.693160677,742.4142899,0,-52.55192981,529.1905142,0,-46.18134903,592.9905289,0,-173.1123521,540.6953453,0,-167.1926336,604.943909
2.16,55,0,39.11284547,869.995998,0,-24.53936245,862.2873927,0,54.20004714,749.8313073,0,-9.791485264,741.5848061,0,-79.93835407,533.8927619,0,-68.89051889,597.051067,0,-199.3254119,554.2374659,0,-188.6942117,617.8762794
2.2,56,0,32.25467562,866.860212,0,-31.746408,863.0017841,0,40.07241616,746.0046805,0,-24.29979283,741.6297849,0,-106.866526,540.2438145,0,-91.20133374,602.4179886,0,-224.4329458,569.3180898,0,-209.1479025,632.0021264
2.24,57,0,25.21998589,864.1434514,0,-38.89729834,864.1492283,0,25.739844,743.0364478,0,-38.77901724,742.5490626,0,-133.2377448,548.2038353,0,-113.0401266,609.0567924,0,-248.346124,585.8500515,0,-228.4901075,647.2394611
2.28,58,0,18.03435079,861.8555929,0,-45.9660365,865.7255536,0,11.25443655,740.9374002,0,-53.1765195,744.3392973,0,-158.9565692,557.7271242,0,-134.3360292,616.9289415,0,-270.9828317,603.7411772,0,-246.6634942,663.5031285
2.32,59,0,10.72389362,860.0049541,0,-52.92692418,867.7250294,0,-3.331144688,739.7151688,0,-67.43995765,746.9939806,0,-183.9311619,568.7623751,0,-155.0211837,625.9920818,0,-292.2679417,622.8947933,0,-263.6171338,680.7052786
2.36,60,0,3.315191448,858.598263,0,-59.75465516,870.1403866,0,-17.96387403,739.3741969,0,-81.51747716,750.5034614,0,-208.0736141,581.2529528,0,-175.0309372,636.2002701,0,-312.1335483,643.2102499,0,-279.3066044,698.7558416
2.4,61,0,4.090909117,858.7239462,0,-59.05021337,869.8695651,0,-16.43863436,739.3685341,0,-80.06090977,750.0982625,0,-205.8154198,579.1132349,0,-173.5431482,634.5165439,0,-310.7302696,639.6115891,0,-278.6820632,695.6101021
